7/19/2007 12:00:00 AM .dat file Constant Record Subbasin  7in ARCGIS-SWAT2005  interface




 MONTH YEAR          FLOCNST          SEDCNST         ORGNCNST         ORGPCNST          NO3CNST          NH3CNST          NO2CNST         MINPCNST         CBODCNST        DISOXCNST         CHLACNST       SOLPSTCNST       SRBPSTCNST        BACTPCNST       BACTLPCNST        CMTL1CNST        CMTL2CNST        CMTL3CNST
     1 1991 3.5080000000E+03 4.0000000000E-02 0.0000000000E+00 1.1480000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.5600000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     2 1991 3.5080000000E+03 4.0000000000E-02 0.0000000000E+00 1.1480000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.5600000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     3 1991 3.5080000000E+03 4.0000000000E-02 0.0000000000E+00 1.1480000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.5600000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     4 1991 3.5080000000E+03 4.0000000000E-02 0.0000000000E+00 1.1480000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.5600000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     5 1991 3.5080000000E+03 4.0000000000E-02 0.0000000000E+00 1.1480000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.5600000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 1991 3.5080000000E+03 4.0000000000E-02 0.0000000000E+00 1.1480000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.5600000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 1991 3.5080000000E+03 4.0000000000E-02 0.0000000000E+00 1.1480000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.5600000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     8 1991 3.5080000000E+03 4.0000000000E-02 0.0000000000E+00 1.1480000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.5600000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     9 1991 3.5080000000E+03 4.0000000000E-02 0.0000000000E+00 1.1480000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.5600000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    10 1991 3.5182000000E+03 4.0000000000E-02 0.0000000000E+00 8.1600000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.0610000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    11 1991 3.6083000000E+03 4.0000000000E-02 0.0000000000E+00 9.4800000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.2600000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
    12 1991 3.6242000000E+03 4.0000000000E-02 0.0000000000E+00 7.9600000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.0320000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     1 1992 3.5759000000E+03 4.0000000000E-02 0.0000000000E+00 8.8400000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.1640000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     2 1992 3.4686000000E+03 4.0000000000E-02 0.0000000000E+00 1.3030000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.7920000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     3 1992 3.7834000000E+03 4.0000000000E-02 0.0000000000E+00 1.5320000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 3.1360000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     4 1992 3.9143000000E+03 4.0000000000E-02 0.0000000000E+00 1.7260000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 3.4270000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     5 1992 3.4740000000E+03 4.0000000000E-02 0.0000000000E+00 1.5370000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 3.1430000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     6 1992 3.5389000000E+03 4.0000000000E-02 0.0000000000E+00 2.0990000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 3.9860000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
     7 1992 3.2118000000E+03 4.0000000000E-02 0.0000000000E+00 1.2060000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 2.6470000000E+01 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
